ID,Time Stamp,Region,Latitude,Longitude,Density
0,04-10-2020,Acton,34.4807415,-118.1868379,0.0001735568745878024
1,04-10-2020,Adams-Normandie,34.0317877,-118.30024660000001,0.0008106355382619975
2,04-10-2020,Agoura Hills,34.147909999999996,-118.76570420000002,0.0006774379297496868
3,04-10-2020,Alhambra,34.093042,-118.12706000000001,0.0003690632712845709
4,04-10-2020,Alsace,33.9879995,-118.3476199,0.00042073375967687654
5,04-10-2020,Altadena,34.1863161,-118.13523290000002,0.0006362394505885215
6,04-10-2020,Angeles National Forest,34.3216546,-118.019201,0.0
7,04-10-2020,Angelino Heights,34.070288899999994,-118.25479650000001,0.0
8,04-10-2020,Arcadia,34.136207500000005,-118.0401497,0.00033337427403365324
9,04-10-2020,Arleta,34.2413266,-118.4322047,0.0006805539117055272
10,04-10-2020,Artesia,33.8690197,-118.0796195,0.0
11,04-10-2020,Atwater Village,34.1163979,-118.25646370000001,0.0005485839676335459
12,04-10-2020,Avalon,33.342209999999994,-118.3272612,0.0
13,04-10-2020,Azusa,34.1338751,-117.90560459999999,0.00027469592686983987
14,04-10-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.0009546213903378677
15,04-10-2020,Baldwin Park,34.0854739,-117.96117609999999,0.00023736368071947567
16,04-10-2020,Bassett,34.049732299999995,-117.99673229999999,0.00015193335190296522
17,04-10-2020,Bel Air,34.0827278,-118.44798020000002,0.0024395910780669145
18,04-10-2020,Bell,33.9747806,-118.1866361,0.000956388676358072
19,04-10-2020,Bell Gardens,33.9694561,-118.1503953,0.00034154019779632325
20,04-10-2020,Bellflower,33.8825705,-118.1167679,0.0006310807257428348
21,04-10-2020,Beverly Crest,34.1167701,-118.43226070000001,0.002127137363985928
22,04-10-2020,Beverly Hills,34.0696501,-118.3963062,0.0020489437839085766
23,04-10-2020,Beverlywood,34.045933399999996,-118.39492,0.0014835636761146248
24,04-10-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0006238964096527371
25,04-10-2020,Bradbury,34.1469511,-117.97089820000001,0.0
26,04-10-2020,Brentwood,34.0521403,-118.4740699,0.0017706210536865667
27,04-10-2020,Brookside,34.0536909,-118.2427666,0.0
28,04-10-2020,Burbank,34.181648200000005,-118.3258554,0.0009169755091124439
29,04-10-2020,Cadillac-Corning,33.973951,-118.248405,0.0
30,04-10-2020,Calabasas,34.144664299999995,-118.6440973,0.0008828835745268896
31,04-10-2020,Canoga Park,34.2010776,-118.5978259,0.0010063737001006373
32,04-10-2020,Canyon Country,34.42332929999999,-118.4720281,0.00046610992425713733
33,04-10-2020,Carson,33.832204299999994,-118.2517547,0.0012347349548391465
34,04-10-2020,Carthay,34.061121299999996,-118.3672997,0.002036511746308823
35,04-10-2020,Castaic,34.488882200000006,-118.6228656,0.0002824360105913504
36,04-10-2020,Central,34.0536909,-118.2427666,0.0009686272399504924
37,04-10-2020,Century City,34.057426299999996,-118.4147267,0.001913265306122449
38,04-10-2020,Century Palms/Cove,34.062844,-118.41581299999999,0.0008046048152503558
39,04-10-2020,Cerritos,33.8644291,-118.05393229999999,0.0004500855162480871
40,04-10-2020,Chatsworth,34.2595715,-118.6023247,0.0009869998026000397
41,04-10-2020,Cheviot Hills,34.0405878,-118.4098875,0.0011993022241604885
42,04-10-2020,Chinatown,34.0638402,-118.23586759999999,0.0
43,04-10-2020,Claremont,34.0966764,-117.71977849999999,0.000271370420624152
44,04-10-2020,Cloverdale/Cochran,34.062323,-118.34615500000001,0.0007805293408074932
45,04-10-2020,Commerce,34.002581,-118.156586,0.0
46,04-10-2020,Compton,33.894927,-118.226624,0.000532729010054203
47,04-10-2020,Country Club Park,34.050289,-118.3211871,0.0014404280128952605
48,04-10-2020,Covina,34.1024,-117.85486499999999,0.0010787486515641855
49,04-10-2020,Crenshaw District,34.0611479,-118.31942190000001,0.0009516140838884416
50,04-10-2020,Crestview,34.0621851,-118.4250119,0.0031694285973014576
51,04-10-2020,Cudahy,33.9620584,-118.1835395,0.0008261731658955717
52,04-10-2020,Culver City,34.021122399999996,-118.3964665,0.0010107995956801618
53,04-10-2020,Del Rey,33.9896527,-118.4243437,0.0010430686406460298
54,04-10-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.00031508743676370195
55,04-10-2020,Downey,33.942215000000004,-118.1235646,0.0008259307096853555
56,04-10-2020,Downtown,34.0428494,-118.24767320000001,0.0005996402158704778
57,04-10-2020,Duarte,34.1394513,-117.97728729999999,0.00032742292967962924
58,04-10-2020,Eagle Rock,34.1366877,-118.20767959999999,0.0008883547148120086
59,04-10-2020,East Hollywood,34.0904277,-118.2966254,0.0013166322681659667
60,04-10-2020,East Los Angeles,34.0239015,-118.17201570000002,0.0005906209394810411
61,04-10-2020,Echo Park,34.0779819,-118.2567824,0.0007126060001425213
62,04-10-2020,El Monte,34.0751571,-118.036849,0.00022862167509342716
63,04-10-2020,El Segundo,33.917028,-118.4156337,0.0005583680762358547
64,04-10-2020,El Sereno,34.0811213,-118.17784950000001,0.0008611569027876879
65,04-10-2020,Elysian Park,34.0774343,-118.23862040000002,0.0008517887563884157
66,04-10-2020,Elysian Valley,34.095912799999994,-118.24203259999999,0.0007982438635002994
67,04-10-2020,Encino,34.1591324,-118.50161659999999,0.0011163765606488653
68,04-10-2020,Exposition,34.013653999999995,-118.2872106,0.0
