ID,Time Stamp,Region,Latitude,Longitude,Density
0,09-7-2020,Acton,34.4807415,-118.1868379,0.010135721475927662
1,09-7-2020,Adams-Normandie,34.0317877,-118.30024660000001,0.013942931258106356
2,09-7-2020,Agoura Hills,34.147909999999996,-118.76570420000002,0.005182400162585104
3,09-7-2020,Alhambra,34.093042,-118.12706000000001,0.013551541992480336
4,09-7-2020,Alsace,33.9879995,-118.3476199,0.029283069673510607
5,09-7-2020,Altadena,34.1863161,-118.13523290000002,0.012219540036303073
6,09-7-2020,Angeles National Forest,34.3216546,-118.019201,0.1
7,09-7-2020,Angelino Heights,34.070288899999994,-118.25479650000001,0.02801812937783272
8,09-7-2020,Arcadia,34.136207500000005,-118.0401497,0.00796589054796203
9,09-7-2020,Arleta,34.2413266,-118.4322047,0.039975144987572486
10,09-7-2020,Artesia,33.8690197,-118.0796195,0.01868131868131868
11,09-7-2020,Atwater Village,34.1163979,-118.25646370000001,0.015291778097785091
12,09-7-2020,Avalon,33.342209999999994,-118.3272612,0.007684680218145761
13,09-7-2020,Azusa,34.1338751,-117.90560459999999,0.029071985593724724
14,09-7-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.02014933006034571
15,09-7-2020,Baldwin Park,34.0854739,-117.96117609999999,0.03610565321166247
16,09-7-2020,Bassett,34.049732299999995,-117.99673229999999,0.03595755995036844
17,09-7-2020,Bel Air,34.0827278,-118.44798020000002,0.00894516728624535
18,09-7-2020,Bell,33.9747806,-118.1866361,0.04041425292381681
19,09-7-2020,Bell Gardens,33.9694561,-118.1503953,0.026862879035371684
20,09-7-2020,Bellflower,33.8825705,-118.1167679,0.029516171443597163
21,09-7-2020,Beverly Crest,34.1167701,-118.43226070000001,0.008917614333633314
22,09-7-2020,Beverly Hills,34.0696501,-118.3963062,0.018036476971026203
23,09-7-2020,Beverlywood,34.045933399999996,-118.39492,0.011321933317716871
24,09-7-2020,Boyle Heights,34.0436892,-118.20976840000002,0.04788699234844026
25,09-7-2020,Bradbury,34.1469511,-117.97089820000001,0.011041009463722398
26,09-7-2020,Brentwood,34.0521403,-118.4740699,0.009020144990478736
27,09-7-2020,Brookside,34.0536909,-118.2427666,0.00473186119873817
28,09-7-2020,Burbank,34.181648200000005,-118.3258554,0.013133763802391778
29,09-7-2020,Cadillac-Corning,33.973951,-118.248405,0.017404129793510324
30,09-7-2020,Calabasas,34.144664299999995,-118.6440973,0.009251084411346974
31,09-7-2020,Canoga Park,34.2010776,-118.5978259,0.02800274755994313
32,09-7-2020,Canyon Country,34.42332929999999,-118.4720281,0.010060205865216549
33,09-7-2020,Carson,33.832204299999994,-118.2517547,0.018715537363418012
34,09-7-2020,Carthay,34.061121299999996,-118.3672997,0.014546512473634447
35,09-7-2020,Castaic,34.488882200000006,-118.6228656,0.06750220653133275
36,09-7-2020,Central,34.0536909,-118.2427666,0.05521175267717807
37,09-7-2020,Century City,34.057426299999996,-118.4147267,0.008848852040816327
38,09-7-2020,Century Palms/Cove,34.062844,-118.41581299999999,0.04440799653401003
39,09-7-2020,Cerritos,33.8644291,-118.05393229999999,0.008236564947339995
40,09-7-2020,Chatsworth,34.2595715,-118.6023247,0.017427596514480698
41,09-7-2020,Cheviot Hills,34.0405878,-118.4098875,0.0069777583951155684
42,09-7-2020,Chinatown,34.0638402,-118.23586759999999,0.011393060590367684
43,09-7-2020,Claremont,34.0966764,-117.71977849999999,0.010257801899592944
44,09-7-2020,Cloverdale/Cochran,34.062323,-118.34615500000001,0.020080891222592774
45,09-7-2020,Commerce,34.002581,-118.156586,0.04315346101883494
46,09-7-2020,Compton,33.894927,-118.226624,0.03762081532906587
47,09-7-2020,Country Club Park,34.050289,-118.3211871,0.01934289045887921
48,09-7-2020,Covina,34.1024,-117.85486499999999,0.04025971382630111
49,09-7-2020,Crenshaw District,34.0611479,-118.31942190000001,0.02086230876216968
50,09-7-2020,Crestview,34.0621851,-118.4250119,0.01648102870596758
51,09-7-2020,Cudahy,33.9620584,-118.1835395,0.04308493060145407
52,09-7-2020,Culver City,34.021122399999996,-118.3964665,0.010675462396481707
53,09-7-2020,Del Rey,33.9896527,-118.4243437,0.01110363391655451
54,09-7-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.008927477374971555
55,09-7-2020,Downey,33.942215000000004,-118.1235646,0.03345898023916845
56,09-7-2020,Downtown,34.0428494,-118.24767320000001,0.01858884669198481
57,09-7-2020,Duarte,34.1394513,-117.97728729999999,0.020350594398549263
58,09-7-2020,Eagle Rock,34.1366877,-118.20767959999999,0.01617328142554804
59,09-7-2020,East Hollywood,34.0904277,-118.2966254,0.020567931108106185
60,09-7-2020,East Los Angeles,34.0239015,-118.17201570000002,0.046375556168051335
61,09-7-2020,Echo Park,34.0779819,-118.2567824,0.01574859260314972
62,09-7-2020,El Monte,34.0751571,-118.036849,0.036359639481204666
63,09-7-2020,El Segundo,33.917028,-118.4156337,0.011576831447290051
64,09-7-2020,El Sereno,34.0811213,-118.17784950000001,0.028344364343183333
65,09-7-2020,Elysian Park,34.0774343,-118.23862040000002,0.015672913117546847
66,09-7-2020,Elysian Valley,34.095912799999994,-118.24203259999999,0.02484534025144682
67,09-7-2020,Encino,34.1591324,-118.50161659999999,0.011870044655062426
68,09-7-2020,Exposition,34.013653999999995,-118.2872106,0.02234137622877569
69,09-7-2020,Exposition Park,34.013653999999995,-118.2872106,0.028535555301906174
70,09-7-2020,Faircrest Heights,33.275839000000005,-96.991881,0.007810466024472794
71,09-7-2020,Figueroa Park Square,34.065295,-118.24476200000001,0.036689622417478036
72,09-7-2020,Florence-Firestone,33.9674263,-118.2433068,0.10089104631445957
73,09-7-2020,Gardena,33.8963593,-118.3053037,0.019463076187807973
74,09-7-2020,Glassell Park,34.1161201,-118.22896270000001,0.021364255573645213
75,09-7-2020,Glendale,34.146941600000005,-118.24784709999999,0.016095830956573496
76,09-7-2020,Glendora,34.136118700000004,-117.86533899999999,0.022518434486670447
77,09-7-2020,Gramercy Place,33.8677941,-118.31354640000002,0.021505376344086027
78,09-7-2020,Granada Hills,34.26615579999999,-118.5174342,0.019364888306722842
79,09-7-2020,Green Meadows,33.9409877,-118.26299679999998,0.04301435406698565
80,09-7-2020,Hacienda Heights,33.993067700000005,-117.96867549999999,0.01751656477651279
81,09-7-2020,Hancock Park,34.0677881,-118.33257649999999,0.012167881495415
82,09-7-2020,Harbor City,33.79110120000001,-118.3012604,0.01662605704457503
83,09-7-2020,Harbor Gateway,33.8542249,-118.29921979999999,0.02203882806403556
84,09-7-2020,Harbor Pines,33.78256810000001,-118.30693020000001,0.008068130883012102
85,09-7-2020,Harvard Heights,34.047110499999995,-118.3054828,0.0316841047467045
86,09-7-2020,Harvard Park,33.9839471,-118.30462279999999,0.04119467240683439
87,09-7-2020,Hawaiian Gardens,33.8284787,-118.0743137,0.03385853167951726
88,09-7-2020,Hawthorne,33.9188589,-118.34832560000001,0.02260768906973481
89,09-7-2020,Hermosa Beach,33.86428,-118.39591000000001,0.010736362650471749
90,09-7-2020,Hidden Hills,34.164091,-118.65783700000001,0.0032
91,09-7-2020,Highland Park,34.1099469,-118.1969828,0.022215525035519008
92,09-7-2020,Historic Filipinotown,34.882979999999996,-114.7569,0.029836728796416707
93,09-7-2020,Hollywood,34.0980031,-118.32952320000001,0.015796339033585138
94,09-7-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.009273087208696558
95,09-7-2020,Huntington Park,33.982704299999995,-118.21203429999998,0.045472877596289575
96,09-7-2020,Hyde Park,33.9805691,-118.3306308,0.026519142957499117
97,09-7-2020,Industry,34.0197335,-117.95867539999999,0.03571428571428571
98,09-7-2020,Inglewood,33.9562003,-118.353132,0.023272802275715675
99,09-7-2020,Irwindale,34.1069927,-117.9342148,0.04551630434782609
100,09-7-2020,Jefferson Park,34.0272344,-118.31757560000001,0.031793407734233066
101,09-7-2020,Koreatown,34.05801339999999,-118.3008095,0.021117821287071584
